wallet,signal_event_count,candidate_ipv4,latest_tx_hash,latest_value_satoshi,latest_octet3,latest_octet4,previous_tx_hash,previous_value_satoshi,previous_octet1,previous_octet2,latest_sender,previous_sender,latest_seen,previous_seen
15GqSWnxEFZezUCcGjhBMknA1PB7aYNXC1,0,,,0,,,,0,,,,,,
17gd1msp5FnMcEMF1MitTNSsYs7w7AQyCt,269,96.69.184.42,72d5bb948cea2a5acb2f903cda85d65c4c3ba8e08b88e9a900f4f2ad3f6a41a3,1583800,184,42,3018089cfff20854bff4d631cbdef9c3716010af836e932a061c06677b1d46b2,22300000,96,69,1P61d51qv2qsiZiEKUwQZGmymx89uySqmj,1Htavi4sXFRvrbRndUU8icf3EkTHbQFw6k,2017-09-29T18:02:09+00:00,2017-07-06T05:26:20+00:00
18sHYU49vUFk6TN6G2Pj6DSCUzkbLvwJt,3,192.212.86.7,7f51495305e6b62d8cfb000bbeb939feed1ea23649b476a9b29e6c66dd717aa4,1878,86,7,9bff00b529106fe28e494c2e2fe4240dcc3a9ae6819c97c0ef518b3188759148,120000,192,212,18sHYU49vUFk6TN6G2Pj6DSCUzkbLvwJt,"1HUgfnuNt9WpLeKT2T9hcSvybP1mVfB9C9,1NKQwfHiBBtaDDksHBEVUJsfNzK16iEvK9",2017-11-29T07:43:38+00:00,2016-01-20T12:20:04+00:00
1BkeGqpo8M5KNVYXW3obmQt1R58zXAqLBQ,8,134.209.103.151,58e969833c275f44f73d565da26d6aee5b79c45e9c6c35435664c1c6073978ee,38759,103,151,085d78090efa1056e17cbbf2d6c4679bde0aef6a8151c4ad41866cf6d546c367,53638,134,209,1N94rYBBCZSnLoK56omRkAPRFrpr5t8C1y,1N94rYBBCZSnLoK56omRkAPRFrpr5t8C1y,2021-01-13T06:48:35+00:00,2021-01-13T06:21:13+00:00
1CMRScsrxPe2N4HwPpNKcHUhfCJXUm2Cx6,5,128.26.64.13,4f63b236cb71653d6f8b4a942ddcc13030b041dbf43daa29b3d849b84ee077e7,200000,64,13,eded56d02fdede1348698046f085f2c1305bc910de013b4985bb5d7950b197ee,400000,128,26,1N5moDay1X36aGVJDNqXh8Xta5qQiwjsZk,19kdEHnYyMUTMKXfgheoK8cEEfrXh7RHAX,2017-07-20T22:05:35+00:00,2017-07-18T10:07:17+00:00
1CeLgFDu917tgtunhJZ6BA2YdR559Boy9Y,215,195.123.220.180,bc06b855896e2cd6fc2c890295645106d1e04bc36dee68717e249b16d6b0d26e,46300,220,180,e1573438ddf1ac03118b0a3b7da99cdb5b96e9d1174eddc1b15c214f5be34798,31683,195,123,1N94rYBBCZSnLoK56omRkAPRFrpr5t8C1y,1N94rYBBCZSnLoK56omRkAPRFrpr5t8C1y,2019-12-11T16:49:18+00:00,2019-12-11T16:32:08+00:00
1CpTCVckjajNKDd7PsApV3cAkunVd4Mcmt,14,128.247.64.234,84c1ba86d7e9e93edb17c836ba31f8a685f963af29939712dbe076ad94b24d6d,7400000,64,234,95ef2321aa75c643240b8f225349e8a93c13fb23cbeeb8b128b7ed81e4e7904a,7600000,128,247,1JqUw7QW1bsbqY5yi7d1LYJnDYTrP7RwmH,1GaM57e7ihtfodez2YwsA27bzar4e93god,2017-09-22T05:15:07+00:00,2017-09-16T09:30:12+00:00
1GcnsLs7C31uuroNmUHwwbB5xQeNvm63Ee,0,,,0,,,,0,,,,,,
1HTDy9SkfhwaNCXFA8wFCvN53f3iGpm8kb,11,0.124.192.110,fdb7363870532eb3131f6059f3eb185bc8397839d95a93135f23fd9523c5175e,9400000,192,110,caad4416113fb0611f679ac8303d24738d49c8b85ec252e7aaa4423a8c54f90f,9600000,0,124,1JMip67gsqTwn5NJoikaEvNGjSr2bLEY14,1BcNadcAmpX4DdQoVz7f2gxc2niK6igzLL,2017-07-23T10:06:31+00:00,2017-07-18T10:07:17+00:00
1Lud76Q98VRHCUiyK7XUs7AgFofrqXeP78,2,121.178.73.19,4119a3aa35e594004e739e69961c8bd120a59a9232b5b82c31ba359a5302dd62,4937,73,19,3d798b16362f0394a398e77c53024b62d028e25fb8da43f6011897dc8e4e6b97,111225,121,178,1Lud76Q98VRHCUiyK7XUs7AgFofrqXeP78,15gqbKFX9GYsDzWiH3odZTfzrGqeEg7B4r,2017-11-29T07:39:27+00:00,2016-04-29T12:00:58+00:00
1ML94w1SCudkiFHaEwYqTmKGTkywxVBuZg,6,96.183.64.181,2bb7b97c8555c85e2fb081681299a987c356bc675ba993f811fac87ff0c10877,6600000,64,181,f29ea7ed238e1bd93b7e4db4e20c53704ad1dccd3db0806245075bfe0a8fcb43,4700000,96,183,12efWAnhjXJmGeYKaeJLwdKq2KYJbMTGfT,17XukBzbRKroEgDVXuL8P8ahayCH6Q3Psa,2017-09-16T09:30:12+00:00,2017-08-28T21:04:52+00:00
1N9ALZUgqYzFQGDXvMY5j1c7PGMMGYqUde,8,94.156.35.136,8ac7e2c85de7ff4924741cfd315ca5e2a6fabeffbd131087da7b5803b4b78701,34851,35,136,c9af418c58b7f176ab007e3246deb4fcf4a36198b770ddc8fb1245204d9270ab,40030,94,156,bc1qh3z9rsq0r4tzaxtmajdy0xnmy30fxsptyu6zsk,bc1qh3z9rsq0r4tzaxtmajdy0xnmy30fxsptyu6zsk,2020-08-06T16:25:47+00:00,2020-08-06T16:25:47+00:00
32Lsw4r5YGLS5qhZsgp1b2kk1xTbf7T4Wf,1,,d68a657c612866157cc21243c9b6244c29747637a43810a0005347fb381dfd64,104460,12,152,,0,,,bc1qfc4g2vzxklyx45fk5tus9ucf3z3kc95vwvchsu,,2021-07-30T21:32:49+00:00,
3Gf7NRXDKtAzeTYG9fwHLg9snpSi2AZpyj,0,,,0,,,,0,,,,,,
